Variable,River,Coorong,Lakes
nH, 1.5000, 1.5000, 1.5000, 1.5000, 1.5000,
nU, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nV, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nSAL, 0.2000, 0.2000, 0.2000, 0.2000, 0.2000,
nTEMP,14.5000,14.5000,14.5000,14.5000,14.5000,
nWQ_NCS_SS1,10.4000,10.4000,10.4000,10.4000,10.4000,
nWQ_OXY_OXY,251.0000,268.0000,295.0000,251.0000,285.0000,
nWQ_SIL_RSI,254.8043,288.0000,288.0000,254.8043,288.0000,
nWQ_NIT_AMM, 2.5000, 2.2000,11.0000, 3.5000, 4.6000,
nWQ_NIT_NIT,150.0000,179.0000,371.0000,105.0000,172.0000,
nWQ_PHS_FRP, 0.7000, 1.4000, 0.5100, 0.4230, 0.8450,
nWQ_PHS_FRP_ADS, 0.0700, 0.1400, 0.0510, 0.0423, 0.0845,
nWQ_OGM_DOC,208.3333,208.3333,208.3333,208.3333,208.3333,
nWQ_OGM_POC,208.3333,208.3333,208.3333,208.3333,208.3333,
nWQ_OGM_DON,20.2500,19.9000,16.0000,36.7500,11.7000,
nWQ_OGM_PON,20.2500,19.9000,16.0000,36.7500,11.7000,
nWQ_OGM_DOP, 0.5480, 0.1150, 0.2895, 0.5673, 0.2853,
nWQ_OGM_POP, 0.5480, 0.1150, 0.2895, 0.5673, 0.2853,
nWQ_PHY_GRN, 4.7188, 3.6250, 2.0833,13.4711, 2.1250,
nWQ_PHY_BGA, 4.7188, 3.6250, 2.0833,13.4711, 2.1250,
nWQ_PHY_FDIAT, 4.7188, 3.6250, 2.0833,13.4711, 2.1250,
nWQ_PHY_MDIAT, 4.7188, 3.6250, 2.0833,13.4711, 2.1250,
nWQ_TRC_AGE, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nECLOI, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nFC,585.0000,585.0000,573.0000,270.0000,637.0000,
nENT,930.0000,930.0000,490.0000,560.0000,1024.0000,
